AÑO;PERIODO;FECHA ENVIO;CODIGO ENTIDAD;ENTIDAD;CODIGO LINEA;LINEA INTERVENCION;CODIGO SERVICIO;NOMBRE SERVICIO;UBIGEO;DEPARTAMENTO;PROVINCIA;DISTRITO;CODIGO CENTRO ATENCION;NOMBRE CENTRO ATENCION;N° DE CEM;N° CASOS ATENDIDOS-TOTAL;N° CASOS ATENDIDOS - HOMBRES - TOTAL;N° CASOS ATENDIDOS - MUJERES - TOTAL;N° CASOS ATENDIDOS - VIOLENCIA PSICOLOGICA;N° CASOS ATENDIDOS - VIOLENCIA FISICA;N° CASOS ATENDIDOS - VIOLENCIA SEXUAL;N° CASOS ATENDIDOS - VIOLENCIA ECONÓMICA O PATRIMONIAL;N° CASOS ATENDIDOS - 0_5 - TOTAL;N° CASOS ATENDIDOS - 0_5 - HOMBRES;N° CASOS ATENDIDOS - 0_5 - MUJERES;N° CASOS ATENDIDOS - 6_11 - TOTAL;N° CASOS ATENDIDOS - 6_11 - HOMBRES;N° CASOS ATENDIDOS - 6_11 - MUJERES;N° CASOS ATENDIDOS - 12_17 - TOTAL;N° CASOS ATENDIDOS - 12_17 - HOMBRES;N° CASOS ATENDIDOS - 12_17 - MUJERES;N° CASOS ATENDIDOS - 18_25 - TOTAL;N° CASOS ATENDIDOS - 18_25  - HOMBRES;N° CASOS ATENDIDOS - 18_25 - MUJERES;N° CASOS ATENDIDOS - 18_29 - TOTAL;N° CASOS ATENDIDOS - 18_29  - HOMBRES;N° CASOS ATENDIDOS - 18_29 - MUJERES;N° CASOS ATENDIDOS - 26_35 - TOTAL;N° CASOS ATENDIDOS - 26_35 - HOMBRES;N° CASOS ATENDIDOS - 26_35 - MUJERES;N° CASOS ATENDIDOS - 36_45 - TOTAL;N° CASOS ATENDIDOS - 36_45 - HOMBRES;N° CASOS ATENDIDOS - 36_45 - MUJERES;N° CASOS ATENDIDOS - 30_59 - TOTAL;N° CASOS ATENDIDOS - 30_59 - HOMBRES;N° CASOS ATENDIDOS - 30_59 - MUJERES;N° CASOS ATENDIDOS - 46_59 - TOTAL;N° CASOS ATENDIDOS - 46_59 - HOMBRES;N° CASOS ATENDIDOS - 46_59 - MUJERES;N° CASOS ATENDIDOS - 60_MÁS - TOTAL;N° CASOS ATENDIDOS - 60_MÁS - HOMBRES;N° CASOS ATENDIDOS - 60_MÁS - MUJERES;N° DE ACTIVIDADES - TOTAL
2013;ENE - DIC;5/01/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER001;CENTRO EMERGENCIA MUJER;30101;APURÍMAC;ABANCAY;ABANCAY;CEM001;ABANCAY;1;142;6;136;106;33;3;;0;;;5;;;8;;;22;;;;;;40;;;40;;;;;;20;;;7;;;4 146
2013;ENE - DIC;5/01/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER001;CENTRO EMERGENCIA MUJER;90201;HUANCAVELICA;ACOBAMBA;ACOBAMBA;CEM002;ACOBAMBA;1;84;7;77;14;57;13;;1;;;7;;;9;;;18;;;;;;21;;;14;;;;;;9;;;5;;;4 595
2013;ENE - DIC;5/01/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER001;CENTRO EMERGENCIA MUJER;100201;HUÁNUCO;AMBO;AMBO;CEM003;AMBO;1;145;10;135;64;57;24;;5;;;9;;;22;;;37;;;;;;38;;;15;;;;;;16;;;3;;;8 977
2013;ENE - DIC;5/01/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER001;CENTRO EMERGENCIA MUJER;30201;APURÍMAC;ANDAHUAYLAS;ANDAHUAYLAS;CEM004;ANDAHUAYLAS;1;408;34;374;253;117;38;;12;;;43;;;49;;;69;;;;;;96;;;88;;;;;;41;;;10;;;4 460
2013;ENE - DIC;5/01/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER001;CENTRO EMERGENCIA MUJER;30301;APURÍMAC;ANTABAMBA;ANTABAMBA;CEM005;ANTABAMBA;1;55;5;50;15;38;2;;1;;;1;;;6;;;9;;;;;;15;;;9;;;;;;9;;;5;;;1 345
2013;ENE - DIC;5/01/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER001;CENTRO EMERGENCIA MUJER;200201;PIURA;AYABACA;AYABACA;CEM006;AYABACA;1;144;20;124;78;50;16;;6;;;20;;;25;;;19;;;;;;39;;;16;;;;;;13;;;6;;;1 864
2013;ENE - DIC;5/01/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER001;CENTRO EMERGENCIA MUJER;50101;AYACUCHO;HUAMANGA;AYACUCHO;CEM007;HUAMANGA;1;564;47;517;321;202;41;;3;;;44;;;55;;;86;;;;;;139;;;132;;;;;;82;;;23;;;7 524
2013;ENE - DIC;5/01/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER001;CENTRO EMERGENCIA MUJER;10201;AMAZONAS;BAGUA;BAGUA;CEM008;BAGUA;1;206;49;157;76;82;48;;14;;;46;;;50;;;27;;;;;;25;;;28;;;;;;10;;;6;;;6 844
2013;ENE - DIC;5/01/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER001;CENTRO EMERGENCIA MUJER;60101;CAJAMARCA;CAJAMARCA;CAJAMARCA;CEM009;CAJAMARCA;1;338;47;291;227;99;12;;16;;;45;;;37;;;57;;;;;;92;;;56;;;;;;23;;;12;;;6 464
2013;ENE - DIC;5/01/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER001;CENTRO EMERGENCIA MUJER;70101;CALLAO;CALLAO;CALLAO;CEM010;CALLAO;1;277;55;222;110;120;47;;19;;;56;;;44;;;29;;;;;;68;;;33;;;;;;22;;;6;;;6 887
2013;ENE - DIC;5/01/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER001;CENTRO EMERGENCIA MUJER;40201;AREQUIPA;CAMANÁ;CAMANÁ;CEM011;CAMANA;1;369;45;324;201;120;48;;19;;;58;;;44;;;62;;;;;;83;;;68;;;;;;29;;;6;;;11 552
2013;ENE - DIC;5/01/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER001;CENTRO EMERGENCIA MUJER;50201;AYACUCHO;CANGALLO;CANGALLO;CEM012;CANGALLO;1;156;13;143;133;14;9;;1;;;6;;;10;;;24;;;;;;54;;;26;;;;;;23;;;12;;;5 521
2013;ENE - DIC;5/01/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER001;CENTRO EMERGENCIA MUJER;150507;LIMA PROVINCIAS;CAÑETE;IMPERIAL;CEM013;CAÑETE;1;439;85;354;290;89;60;;54;;;78;;;81;;;55;;;;;;87;;;63;;;;;;20;;;1;;;7 704
